Pedido,posicion,material,cantidad,Fecha
7132135106,00010,000000000018000626,88000.000000,2023-11-23
7132135107,00010,000000000018000022,376000.000000,2023-11-23
7132135109,00010,000000000018000497,76800.000000,2023-11-23
7132135120,00010,000000000076620007,27167.000000,2023-11-23
7132135105,00020,000000000018000197,264000.000000,2023-11-23
7132135105,00030,000000000018000019,88000.000000,2023-11-23
7132135110,00020,000000000018000574,76800.000000,2023-11-23
7132135112,00020,000000000018000048,70400.000000,2023-11-23
7132135114,00030,000000000076230551,88000.000000,2023-11-23
7132135114,00040,000000000076230559,88000.000000,2023-11-23
7132135115,00020,000000000076230676,88000.000000,2023-11-23
7132135115,00030,000000000018000134,176000.000000,2023-11-23
7132135116,00020,000000000076230577,88000.000000,2023-11-23
7132135107,00030,000000000018000444,88000.000000,2023-11-23
7132135118,00020,000000000076230748,105600.000000,2023-11-23
7132135118,00030,000000000076230608,76800.000000,2023-11-23
7132135118,00040,000000000076230621,76800.000000,2023-11-23
7132135106,00020,000000000076230843,264000.000000,2023-11-23
7132135114,00020,000000000076230675,176000.000000,2023-11-23
7132135106,00030,000000000076230844,88000.000000,2023-11-23
7132135111,00020,000000000076230904,76800.000000,2023-11-23
7132135111,00030,000000000076230912,76800.000000,2023-11-23
7132135111,00040,000000000076230805,76800.000000,2023-11-23
7132135111,00050,000000000076230813,76800.000000,2023-11-23
